,Date,Open,High,Low,Close,Adj Close,Volume,Returns,MovingAverage_50,MovingAverage_200,VolumeChange,VolumeMovingAverage_50,VolumeMovingAverage_200,MarketReturns,CAPM,HighLowRange,HighCloseRange,LowCloseRange,Volatility,RSI,Momentum,VolumeMovingAverage_10,PriceLag_1,ReturnLag_1,PriceLag_3,ReturnLag_3,PriceLag_5,ReturnLag_5,Mkt-RF,SMB,HML,RMW,CMA,RF,ADS_Index,UNRATE,"('Adj Close', 'BYD')","('Adj Close', 'VWAGY')","('Close', 'BYD')","('Close', 'VWAGY')","('High', 'BYD')","('High', 'VWAGY')","('Low', 'BYD')","('Low', 'VWAGY')","('Open', 'BYD')","('Open', 'VWAGY')","('Volume', 'BYD')","('Volume', 'VWAGY')"
2844,14-10-2021,271.8299866,273.4166565,271.1166687,272.7733459,272.7733459,36741600,0.008926471,247.6284683,235.817484,-0.132640704,52701576,82292797.5,0.002120676,0.019976517,2.299987793,3.056671143,-0.75668335,1.533325195,71.57020083,14.27999878,53730630,270.3599854,0.006652379,263.980011,0.008211529,264.5366821,0.01387426,1.65,-0.37,-0.27,-0.01,-0.14,0,0.89546,4.5,66.08538818,25.79911232,67.31999969,31.85000038,68.56999969,31.90999985,67.19000244,31.69000053,67.58000183,31.78899956,1037100,349200
2845,15-10-2021,274.5799866,281.0700073,274.1166687,281.0100098,281.0100098,56773800,0.030196,248.4844684,236.0645673,0.545218499,53061876,81933976.5,0.002120676,0.020021622,6.953338623,8.296661377,-1.343322754,4.635559082,73.57845922,22.60333252,54298590,272.7733459,0.008926471,268.5733337,0.017400267,261.8299866,-0.010231835,0.63,-1.13,0.3,0.37,-0.05,0,0.920573,4.5,65.13317108,25.70191002,66.34999847,31.72999954,69.23000336,32,66.26000214,31.68000031,68.33000183,31.84900093,837700,374800
2846,18-10-2021,283.9299927,291.7533264,283.8233337,290.0366821,290.0366821,72621600,0.032122245,249.6245352,236.3386341,0.279139321,53576928,81552336,0.002120676,0.020025707,7.929992676,10.74331665,-2.813323975,5.286661784,87.66779968,29.52667236,52415760,281.0100098,0.030196,270.3599854,0.006652379,263.980011,0.008211529,0.41,-0.41,-0.01,0.56,-0.05,0,0.986259,4.5,65.3884201,25.20455742,66.61000061,31.11599922,66.77999878,31.14999962,65.43000031,30.84000015,66.05000305,31.05900002,612200,548300
2847,19-10-2021,292.5100098,292.6499939,287.5033264,288.0899963,288.0899963,52143300,-0.006711861,250.6279352,236.5628008,-0.281986351,53736876,81083479.5,0.002120676,0.019943353,5.14666748,2.613311768,2.533355713,3.431111654,83.19982238,27.89334106,52100310,290.0366821,0.032122245,272.7733459,0.008926471,268.5733337,0.017400267,0.71,-0.47,-0.23,-0.16,0.09,0,1.0039,4.5,64.57363129,25.05794525,65.77999878,30.93499947,67.45999908,31.22599983,65.51999664,30.85000038,67.19999695,30.96899986,612400,377100
2848,20-10-2021,288.4500122,289.8299866,285.793335,288.6000061,288.6000061,42096300,0.001770314,251.6666687,236.7806174,-0.192680555,53772864,80810283,0.002120676,0.019961341,4.036651611,1.739990234,2.296661377,2.691101074,87.43354974,27.68334961,51920100,288.0899963,-0.006711861,281.0100098,0.030196,270.3599854,0.006652379,0.34,0.23,1.19,0.29,0.51,0,1.0193,4.5,65.09391785,25.50750732,66.30999756,31.48999977,67,31.54999924,65.62999725,30.64999962,65.87999725,30.69000053,633700,459600
2849,21-10-2021,285.3333435,300,285.1666565,298,298,94444500,0.032571011,252.9078687,237.0106508,1.243534467,55073718,80612005.5,0.002120676,0.020026659,14.83334351,11.3999939,3.433349609,9.888895671,89.9716186,33.46331787,55605810,288.6000061,0.001770314,290.0366821,0.032122245,272.7733459,0.008926471,0.37,0.03,-0.95,0.33,-0.63,0,1.03246,4.5,65.09391785,25.92061615,66.30999756,32,67.04000092,32.16999817,66.04000092,31.86499977,66.18000031,32.04000092,628500,347400
2850,22-10-2021,298.5,303.3333435,296.9866638,303.2266541,303.2266541,68642400,0.017539108,254.1574017,237.1667174,-0.273198545,55399020,80182734,0.002120676,0.019994781,6.346679688,5.333343506,1.013336182,4.231119792,90.56652441,41.39666748,57448470,298,0.032571011,288.0899963,-0.006711861,281.0100098,0.030196,-0.25,0,1.01,0.45,0.51,0,1.04338,4.5,64.83867645,26.20412064,66.05000305,32.34999847,66.37999725,32.52000046,65.01000214,32.20000076,66.30999756,32.29000092,1098000,347900
2851,25-10-2021,316.8433228,348.3399963,314.7333374,341.6199951,341.6199951,188556300,0.126615984,256.2086682,237.4081174,1.746936296,58166256,79999683,0.002120676,0.020226098,33.60665894,45.11334229,-11.50668335,22.40443929,94.87118253,77.63998413,72044010,303.2266541,0.017539108,288.6000061,0.001770314,290.0366821,0.032122245,0.58,0.37,-0.15,-0.42,-0.36,0,1.06339,4.5,65.12335968,26.78733635,66.33999634,33.06999969,67.01999664,33.20000076,65.69000244,32.81000137,66.44000244,33.18000031,1179000,441300
2852,26-10-2021,341.563324,364.980011,333.813324,339.4766541,339.4766541,187245000,-0.00627405,258.4237347,237.7535173,-0.006954422,60550512,80046384,0.002120676,0.019944281,31.16668701,23.36001587,7.806671143,20.77779134,92.62455939,70.90332031,84162510,341.6199951,0.126615984,298,0.032571011,288.0899963,-0.006711861,0.04,-0.78,-0.31,-0.37,-0.14,0,1.06664,4.5,65.37860107,27.62975502,66.59999847,34.11000061,67.40000153,34.22000122,66.09999847,33.95899963,66.84999847,34.18000031,1149900,534400
2853,27-10-2021,346.5533447,356.9599915,343.5933228,345.9533386,345.9533386,115579500,0.019078439,260.9047348,238.0675507,-0.382736522,61438824,79930221,0.002120676,0.019998046,13.3666687,17.4833374,-4.116668701,8.911112467,92.846316,75.59335327,91484430,339.4766541,-0.00627405,303.2266541,0.017539108,288.6000061,0.001770314,-0.76,-0.95,-1.18,0.85,-0.61,0,1.06828,4.5,65.97740936,27.01413918,67.20999908,33.34999847,67.65000153,33.63999939,65.06999969,33.18999863,66.62000275,33.58000183,1977700,415000
